timestamp,page_url,ttfb_ms,load_time_ms,requests_count,core_web_vitals_status,detected_assets
2026-03-22T06:56:00.228404+00:00,/,73,3573,22,poor,https://hashnode.com/_next/static/chunks/5aa6e52e0dd7aea2.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/d96012bcfc98706a.js|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/ade94519337d7214.js
2026-03-22T06:56:03.466987+00:00,/explore,142,3174,45,poor,https://hashnode.com/_next/static/chunks/5aa6e52e0dd7aea2.css|https://hashnode.com/_next/static/chunks/72cd4bd1e0564c77.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/5d420d97975eccac.js
2026-03-22T06:56:06.798890+00:00,/featured,110,3283,45,poor,https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/72cd4bd1e0564c77.css|https://hashnode.com/_next/static/chunks/5aa6e52e0dd7aea2.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/5d420d97975eccac.js
2026-03-23T07:14:25.945500+00:00,/,131,3498,22,poor,https://hashnode.com/_next/static/chunks/ade94519337d7214.js|https://hashnode.com/_next/static/chunks/73e3194f06db260e.js|https://hashnode.com/_next/static/chunks/d598f1f652e2d146.js|https://hashnode.com/_next/static/chunks/e319363365fbd924.js|https://hashnode.com/_next/static/chunks/1227041bc1f8949b.js
2026-03-23T07:14:30.015021+00:00,/explore,132,4023,45,poor,https://hashnode.com/_next/static/chunks/5aa6e52e0dd7aea2.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/72cd4bd1e0564c77.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/ade94519337d7214.js
2026-03-23T07:14:33.303128+00:00,/featured,223,3241,45,poor,https://hashnode.com/_next/static/chunks/5aa6e52e0dd7aea2.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/72cd4bd1e0564c77.css|https://hashnode.com/_next/static/chunks/59da4c89006371bd.js|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js
2026-03-24T07:07:33.898501+00:00,/,323,3613,22,poor,https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/d96012bcfc98706a.js|https://hashnode.com/_next/static/chunks/f2e0af829197c917.js|https://hashnode.com/_next/static/chunks/5aa6e52e0dd7aea2.css|https://hashnode.com/_next/static/chunks/turbopack-30f62fc35629b0a3.js
2026-03-24T07:07:37.335985+00:00,/explore,225,3377,45,poor,https://hashnode.com/_next/static/chunks/5aa6e52e0dd7aea2.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/72cd4bd1e0564c77.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/ade94519337d7214.js
2026-03-24T07:07:40.680827+00:00,/featured,338,3291,45,poor,https://hashnode.com/_next/static/chunks/5aa6e52e0dd7aea2.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/72cd4bd1e0564c77.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/turbopack-30f62fc35629b0a3.js
2026-03-25T07:05:31.726012+00:00,/,164,3519,22,poor,https://hashnode.com/_next/static/chunks/72cd4bd1e0564c77.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/73e3194f06db260e.js|https://hashnode.com/_next/static/chunks/d598f1f652e2d146.js|https://hashnode.com/_next/static/chunks/ade94519337d7214.js
2026-03-25T07:05:35.083550+00:00,/explore,125,3301,45,poor,https://hashnode.com/_next/static/chunks/5aa6e52e0dd7aea2.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/72cd4bd1e0564c77.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/ade94519337d7214.js
2026-03-25T07:05:39.068548+00:00,/featured,133,3936,45,poor,https://hashnode.com/_next/static/chunks/72cd4bd1e0564c77.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/5aa6e52e0dd7aea2.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/ade94519337d7214.js
2026-03-26T07:15:43.887676+00:00,/,226,3652,22,poor,https://hashnode.com/_next/static/chunks/9e1e6df4b94fb774.css|https://hashnode.com/_next/static/chunks/5aa6e52e0dd7aea2.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/d598f1f652e2d146.js|https://hashnode.com/_next/static/chunks/5d420d97975eccac.js
2026-03-26T07:15:47.284616+00:00,/explore,104,3346,45,poor,https://hashnode.com/_next/static/chunks/5aa6e52e0dd7aea2.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/9e1e6df4b94fb774.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/ade94519337d7214.js
2026-03-26T07:15:50.992902+00:00,/featured,278,3665,45,poor,https://hashnode.com/_next/static/chunks/5aa6e52e0dd7aea2.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/9e1e6df4b94fb774.css|https://hashnode.com/_next/static/chunks/5f867900203628da.js|https://hashnode.com/_next/static/chunks/d598f1f652e2d146.js
2026-03-27T07:12:13.856116+00:00,/,241,4056,22,poor,https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/5aa6e52e0dd7aea2.css|https://hashnode.com/_next/static/chunks/9e1e6df4b94fb774.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/ade94519337d7214.js
2026-03-27T07:12:17.248408+00:00,/explore,120,3327,45,poor,https://hashnode.com/_next/static/chunks/5aa6e52e0dd7aea2.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/9e1e6df4b94fb774.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/59da4c89006371bd.js
2026-03-27T07:12:20.639222+00:00,/featured,816,3338,45,poor,https://hashnode.com/_next/static/chunks/5aa6e52e0dd7aea2.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/9e1e6df4b94fb774.css|https://hashnode.com/_next/static/chunks/d598f1f652e2d146.js|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js
2026-03-28T07:02:12.672969+00:00,/,63,3134,22,poor,https://hashnode.com/_next/static/chunks/5aa6e52e0dd7aea2.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/8ce6f1ad3f226fda.css|https://hashnode.com/_next/static/chunks/ade94519337d7214.js|https://hashnode.com/_next/static/chunks/d598f1f652e2d146.js
2026-03-28T07:02:16.066599+00:00,/explore,140,3334,45,poor,https://hashnode.com/_next/static/chunks/5aa6e52e0dd7aea2.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/8ce6f1ad3f226fda.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/ade94519337d7214.js
2026-03-28T07:02:19.802219+00:00,/featured,192,3679,45,poor,https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/8ce6f1ad3f226fda.css|https://hashnode.com/_next/static/chunks/5aa6e52e0dd7aea2.css|https://hashnode.com/_next/static/chunks/d598f1f652e2d146.js|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js
2026-03-29T07:07:34.966662+00:00,/,47,3412,22,poor,https://hashnode.com/_next/static/chunks/5aa6e52e0dd7aea2.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/8ce6f1ad3f226fda.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/ade94519337d7214.js
2026-03-29T07:07:38.261773+00:00,/explore,133,3236,45,poor,https://hashnode.com/_next/static/chunks/5aa6e52e0dd7aea2.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/8ce6f1ad3f226fda.css|https://hashnode.com/_next/static/chunks/ade94519337d7214.js|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js
2026-03-29T07:07:41.701103+00:00,/featured,158,3389,45,poor,https://hashnode.com/_next/static/chunks/5aa6e52e0dd7aea2.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/8ce6f1ad3f226fda.css|https://hashnode.com/_next/static/chunks/ade94519337d7214.js|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js
2026-03-30T07:46:07.575434+00:00,/,335,3737,22,poor,https://hashnode.com/_next/static/chunks/5aa6e52e0dd7aea2.css|https://hashnode.com/_next/static/chunks/7f005428375f2407.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/ade94519337d7214.js
2026-03-30T07:46:10.958701+00:00,/explore,116,3326,45,poor,https://hashnode.com/_next/static/chunks/5aa6e52e0dd7aea2.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/7f005428375f2407.css|https://hashnode.com/_next/static/chunks/ade94519337d7214.js|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js
2026-03-30T07:46:14.262868+00:00,/featured,126,3251,45,poor,https://hashnode.com/_next/static/chunks/5aa6e52e0dd7aea2.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/7f005428375f2407.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/ade94519337d7214.js
2026-03-31T07:19:19.364977+00:00,/,98,3529,22,poor,https://hashnode.com/_next/static/chunks/5aa6e52e0dd7aea2.css|https://hashnode.com/_next/static/chunks/b822d8962c0126a0.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/d96012bcfc98706a.js
2026-03-31T07:19:22.761807+00:00,/explore,113,3346,45,poor,https://hashnode.com/_next/static/chunks/5aa6e52e0dd7aea2.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/b822d8962c0126a0.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/5d420d97975eccac.js
2026-03-31T07:19:27.254012+00:00,/featured,220,4453,45,poor,https://hashnode.com/_next/static/chunks/5aa6e52e0dd7aea2.css|https://hashnode.com/_next/static/chunks/turbopack-30f62fc35629b0a3.js|https://hashnode.com/_next/static/chunks/2963de8af5bf4d07.js|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/44e261bdea472d95.js
2026-04-01T07:24:40.717706+00:00,/,135,3409,22,poor,https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/6caf7277614b8f01.css|https://hashnode.com/_next/static/chunks/9cd97c8112ebe080.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/ade94519337d7214.js
2026-04-01T07:24:43.927690+00:00,/explore,230,3156,45,poor,https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/6caf7277614b8f01.css|https://hashnode.com/_next/static/chunks/9cd97c8112ebe080.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/ade94519337d7214.js
2026-04-01T07:24:47.277580+00:00,/featured,14,3300,45,poor,https://hashnode.com/_next/static/chunks/6caf7277614b8f01.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/9cd97c8112ebe080.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/ade94519337d7214.js
2026-04-02T07:16:50.159998+00:00,/,39,5118,22,poor,https://hashnode.com/_next/static/chunks/6caf7277614b8f01.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/6a7b32c87d517953.css|https://hashnode.com/_next/static/chunks/turbopack-30f62fc35629b0a3.js|https://hashnode.com/_next/static/chunks/d26df96ef9a85721.js
2026-04-02T07:16:53.451389+00:00,/explore,234,3233,45,poor,https://hashnode.com/_next/static/chunks/6caf7277614b8f01.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/6a7b32c87d517953.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/ade94519337d7214.js
